name,address,website,phone,source_url,sector,employees_estimate,business_type,cnpj,capital_social,socios
Mercado Municipal de Campinas,,,,https://www.google.com/maps/place/Mercado+Municipal+de+Campinas/data=!4m7!3m6!1s0x94c8c864c4a580bf:0xe7ab56ba5dadd0e9!8m2!3d-22.9032225!4d-47.0637268!16s%2Fg%2F122vxx84!19sChIJv4ClxGTIyJQR6dCtXbpWq-c?authuser=0&hl=pt-BR&rclk=1,,,,,,[]
Supermercado Taquaral,,,,https://www.google.com/maps/place/Supermercado+Taquaral/data=!4m7!3m6!1s0x94c8c5fa409f9e41:0x576b2a049403a7d2!8m2!3d-22.8812658!4d-47.0501531!16s%2Fg%2F1hc85wzsv!19sChIJQZ6fQPrFyJQR0qcDlAQqa1c?authuser=0&hl=pt-BR&rclk=1,,,,,,[]
Mercado Moreira,,,,https://www.google.com/maps/place/Mercado+Moreira/data=!4m7!3m6!1s0x94c8cfd5f6de5f01:0x4e18049e1b93051f!8m2!3d-22.9186878!4d-47.018118!16s%2Fg%2F11rghx3v3c!19sChIJAV_e9tXPyJQRHwWTG54EGE4?authuser=0&hl=pt-BR&rclk=1,,,,,,[]
Savegnago Supermercados,,,,https://www.google.com/maps/place/Savegnago+Supermercados/data=!4m7!3m6!1s0x94c8c933721dbf6f:0x76d689e24f300dfd!8m2!3d-22.8974872!4d-47.0705996!16s%2Fg%2F11fp8zm10x!19sChIJb78dcjPJyJQR_Q0wT-KJ1nY?authuser=0&hl=pt-BR&rclk=1,,,,,,[]
Enxuto Supermercados,,,,https://www.google.com/maps/place/Enxuto+Supermercados/data=!4m7!3m6!1s0x94c8c629ccc4f633:0x1d4dac4a15eda7f1!8m2!3d-22.9089094!4d-47.0955686!16s%2Fg%2F1thqbzl4!19sChIJM_bEzCnGyJQR8aftFUqsTR0?authuser=0&hl=pt-BR&rclk=1,,,,,,[]
Vitória Max Supermercados,,,,https://www.google.com/maps/place/Vit%C3%B3ria+Max+Supermercados/data=!4m7!3m6!1s0x94c8c87af911a1cd:0x29a0dd270a3d4042!8m2!3d-22.9125639!4d-47.1051149!16s%2Fg%2F11bw7d73kp!19sChIJzaER-XrIyJQRQkA9CifdoCk?authuser=0&hl=pt-BR&rclk=1,,,,,,[]
Dalben Supermercados | Loja Taquaral,,,,https://www.google.com/maps/place/Dalben+Supermercados+%7C+Loja+Taquaral/data=!4m7!3m6!1s0x94c8c5fc5d1dd6a7:0xf372529d1bae7a7f!8m2!3d-22.8785462!4d-47.0442441!16s%2Fg%2F11fkcvn6tc!19sChIJp9YdXfzFyJQRf3quG51ScvM?authuser=0&hl=pt-BR&rclk=1,,,,,,[]
Mercado Galassi Campinas,,,,https://www.google.com/maps/place/Mercado+Galassi+Campinas/data=!4m7!3m6!1s0x94c8ce8fee398dcd:0xe7670a5249e1b9ff!8m2!3d-22.9460866!4d-47.0283126!16s%2Fg%2F11c70dgm23!19sChIJzY057o_OyJQR_7nhSVIKZ-c?authuser=0&hl=pt-BR&rclk=1,,,,,,[]
Assaí Atacadista,,,,https://www.google.com/maps/place/Assa%C3%AD+Atacadista/data=!4m7!3m6!1s0x94c8c8b10560aabb:0xb7f3b1b09aed01e5!8m2!3d-22.9041667!4d-47.0655556!16s%2Fg%2F11f15n4s33!19sChIJu6pgBbHIyJQR5QHtmrCx87c?authuser=0&hl=pt-BR&rclk=1,,,,,,[]
Galassi,,,,https://www.google.com/maps/place/Galassi/data=!4m7!3m6!1s0x94c8cf2eca2ea283:0xa02b4eb5a02c50aa!8m2!3d-22.9213186!4d-47.0519429!16s%2Fg%2F1th0ck81!19sChIJg6Iuyi7PyJQRqlAsoLVOK6A?authuser=0&hl=pt-BR&rclk=1,,,,,,[]
